pptx_file,slide_num,img_path,img_type,explanation
All Recipes - IS 296 Project_Mini Update.pptx,3,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide003_img02.png,chart,"When exploring recipes, cook time and calories share an inverse relationship, while most cooking happens under 500 minutes with widely varying serving sizes. Interestingly, many users leave silent ratings and numbers without any written review. This raises questions about engagement. Despite this, average ratings remain consistently high between 4.4 and 4.6 across all calorie levels and cuisines, suggesting that people generally enjoy the recipes they make regardless of where they originate or how indulgent they are."
All Recipes - IS 296 Project_Mini Update.pptx,7,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide007_img02.png,chart,"To reach my audience goals, this week I plan to find fast and convenient recipes from the recipes data that are easily accessible to college students and people who are looking for quick and easy recipes that have a cook time of less than 10 minutes and a prep time thats less than 10 minutes. I graphed a scatter plot that shows the cooking time and the prep time of preparing recipes. This graph shows the viewer that there are many different options of recipes to choose from that they can make to help them save time!"
All Recipes - IS 296 Project_Mini Update.pptx,8,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide008_img02.png,chart,"To find the fastest recipes in the recipes table, I used a barchart to display the top 10 recipes that take the 5 minutes or less to make. As you can see, most of them are either smoothie or drinks. Some are very nutritious and other are not. This data is very helpful to students or people who need quick and easy recipes by providing them with recipes that can be easily made in 5 minutes or less! Not only does it save time but also provides the nutrients one needs!"
All Recipes - IS 296 Project_Mini Update.pptx,9,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide009_img02.png,chart,"Graph between calories and cook time | ANALYSIS: To better answer whether calorie count affects how a recipe is rated, recipes were grouped into 200-calorie bins and the mean rating with 95% confidence interval was calculated for each. The mean ratings across all bins falls between a narrow/slim range between 4.48 and 4.62, and every confidence interval overlaps with the others. This means there is no statistically meaningful difference in ratings between low- and high-calorie recipes. Calorie count alone does not predict how well a recipe is received."
All Recipes - IS 296 Project_Mini Update.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide010_img02.png,chart,"Graph between calories and cook time | ANALYSIS: This scatter plot shows the relationship between calories per serving and cook time across all recipes. The vast majority cluster tightly under 600 calories and 60 minutes, confirming that most AllRecipes content is quick, moderate-calorie everyday cooking. A small number of recipes extend into higher calorie counts or longer cook times, forming a sparse right tail in both directions. The two dimensions do not move together strongly. A high-calorie recipe is not necessarily a long-cook one taking into consideration that they are influenced by different factors."
All Recipes - IS 296 Project_Mini Update.pptx,11,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide011_img02.png,chart,"I used lab 12’s guide to analyze permutation of two continuous variables. I chose to analyze the average rating and total ratings. I made a scatterplot first, then found the observed correlation of 0.06 and found the p-value which is incredibly close to zero. This data shows that these two variables are highly correlated and we reject the null hypothesis. In other words, this means that as a recipe has more ratings logged, it’s more likely to have a higher average rating out of 5."
All Recipes - IS 296 Project_Mini Update.pptx,11,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide011_img03.png,chart,"I used lab 12’s guide to analyze permutation of two continuous variables. I chose to analyze the average rating and total ratings. I made a scatterplot first, then found the observed correlation of 0.06 and found the p-value which is incredibly close to zero. This data shows that these two variables are highly correlated and we reject the null hypothesis. In other words, this means that as a recipe has more ratings logged, it’s more likely to have a higher average rating out of 5."
All Recipes - IS 296 Project_Mini Update.pptx,12,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide012_img02.png,chart,"I noticed two different columns- total ratings and reviews. To my knowledge, ratings are when someone leaves a star out of 5, and reviews are when someone writes and posts something about the recipe beyond just a number. I created a column to represent the difference between these two variables, dubbed the “silent raters.” These are people who leave a number rating without saying anything in a review. Silent raters = total ratings minus reviews. The higher the silent raters, the more total ratings and the less reviews a recipe got. This scatterplot shows a trend between the variable silent ratings and the average rating of a recipe. I notice a correlation between the two variables. As the number of silent raters goes up, the score of rating for a recipe tends to increase. The opposite is also true. This makes sense, because if someone likes a recipe, they’ll give it some stars. But if someone hates a recipe, they have something to say about it, and are more likely to leave a review."
All Recipes - IS 296 Project_Mini Update.pptx,13,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide013_img02.png,chart,"There was an issue with the “silent raters” variable. For the previous slide, I highlighted where silent raters was above zero. However, as pictured in the top graph, there were two “clumps” of data in the scatterplot. The top clump (from the previous slide) makes sense, but the bottom one doesnt. Why would a recipe have more reviews than ratings, let alone 700-1000 more? There are no data points of a recipe having 1-600 more reviews than ratings, which I find odd. Of these strange recipes from that second clump, they’re all rated an average of 4-5 stars. Why would anyone leave a review on a recipe and not give it a rating while they’re at it? Very strange."
All Recipes - IS 296 Project_Mini Update.pptx,13,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide013_img03.png,chart,"There was an issue with the “silent raters” variable. For the previous slide, I highlighted where silent raters was above zero. However, as pictured in the top graph, there were two “clumps” of data in the scatterplot. The top clump (from the previous slide) makes sense, but the bottom one doesnt. Why would a recipe have more reviews than ratings, let alone 700-1000 more? There are no data points of a recipe having 1-600 more reviews than ratings, which I find odd. Of these strange recipes from that second clump, they’re all rated an average of 4-5 stars. Why would anyone leave a review on a recipe and not give it a rating while they’re at it? Very strange."
All Recipes - IS 296 Project_Mini Update.pptx,17,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide017_img02.png,chart,"This week, I have decided to focus on the cuisines data. I am going to analyze the first top 10 most popular in the cuisines data (similar to what I did in the recipes data)(Refer back to Week 2). I also included fig. 1 to display the countries that are also the most popular along with their recipes. I can see that Turkish Eggs are rated #1 and I also notice that Cuban and Brazilian dishes are the most popular among the top ten."
All Recipes - IS 296 Project_Mini Update.pptx,17,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide017_img03.png,chart,"This week, I have decided to focus on the cuisines data. I am going to analyze the first top 10 most popular in the cuisines data (similar to what I did in the recipes data)(Refer back to Week 2). I also included fig. 1 to display the countries that are also the most popular along with their recipes. I can see that Turkish Eggs are rated #1 and I also notice that Cuban and Brazilian dishes are the most popular among the top ten."
All Recipes - IS 296 Project_Mini Update.pptx,18,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide018_img02.png,chart,"In this scatter plot, I measured the total number of ratings to the average ratings of the entire data instead of only the top ten. Similarly to the recipes table in week 2, fig. 3, displays a higher total and average ratings from 4.4 to 4.8. I also see that at a 5.0 rating, the total number of ratings does not exceed 200. I also noticed that there is very little total ratings with people who rated a recipe less than 3.5."
All Recipes - IS 296 Project_Mini Update.pptx,19,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide019_img02.png,chart,"Graph between Calories & Ingredients | ANALYSIS: This histogram breaks down all the recipes by calorie count, with each bar representing a calorie range and the height showing how many recipes fall in it. The tallest bars are in the 200 to 400 calorie range, which tells us that most recipes on ‘AllRecipes’ are moderate in calories and are typical everyday home cooking. The distribution has a long right tail, meaning high-calorie recipes exist but they're the minority. This connects directly to my curious question about ingredient count and cook time since we can see where most recipes sit calorically, we have a baseline for understanding what pushes a recipe above or below that 200–400 area. More ingredients and longer cook times move the recipes toward that right tail."
