model,agent,verdict,confidence,reasoning,latency_s,tokens,parse_error,idx,claim,chart_img,ground_truth
google/gemini-3-flash-preview,agent2,contradicted,0.1,"The chart is an unlabeled sunburst or donut plot with no text or legend, making it impossible to identify which section represents Adenocarcinoma or small cell carcinoma.",3.02,1387,False,1,The value of Adenocarcinoma is greater than small cell carcinoma.,https://chartfc.s3.amazonaws.com/Pie_chart_of_cancer_incidences.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart clearly labels 'Acad./prof.' as the largest segment at 36% (43,481 titles) and 'Non-fiction' as a smaller segment at 26% (30,455 titles).",2.43,1420,False,2,Acad./prof. books make up the largest segment of 36% overtaking Non-fiction at 26%.,https://chartfc.s3.amazonaws.com/2001_Numbers_of_Titles_published_in_the_UK.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The average of Republican (55 million) and Independents (42 million) is 48.5 million, which is significantly less than the 72 million shown for the Democratic Party.",2.77,1416,False,3,The average of Republican party and Independents together is more than the chart of Democratic party which shows by blue color.,https://chartfc.s3.amazonaws.com/U.S._party_affiliation.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart titled 'Autism Speaks' 2017 Budget' clearly displays 5 distinct colored segments corresponding to 5 categories in the legend: Awareness & Lobbying, Research, Fundraising, Misc., and Family services.",2.2,1429,False,4,The chart of Autism Speaks in 2017 consists  of 5 parts.,https://chartfc.s3.amazonaws.com/Autism_Speaks_Budget_2017.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"In section 1X, the 'abuse' category is clearly taller than the 'praise' category. Therefore, abuse does not have the smallest proportion across all sections.",2.52,1404,False,5,"Abuse has the smallest proportion of feedback items in all three (1X, 1A, 1E) sections.",https://chartfc.s3.amazonaws.com/AFTv5.phase_2.utility.by_intention.by_experiment.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"Across all three groups (1X, 1A, and 1E), the 'abuse' feedback category bars are entirely red, indicating 0% useful and 100% useless items.",2.53,1399,False,6,Abuse feedback is 100% useless across all groups.,https://chartfc.s3.amazonaws.com/AFTv5.phase_2.utility.by_intention.by_experiment.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,The line chart explicitly shows a data point above the year 1950 on the horizontal axis with the value 34350 labeled directly above it.,2.61,1416,False,7,"According to the chart, in the year 1950 there is a total population value of 34350","https://chartfc.s3.amazonaws.com/Watertown,_NY_Population_Line_chart_1870-2020.png",True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The chart shows a peak population of 34,350 in 1950 followed by a significant overall decline to 24,685 in 2020, contradicting the claim of constant increase.",2.07,1415,False,8,The population is constantly increasing with the passage of time.,"https://chartfc.s3.amazonaws.com/Watertown,_NY_Population_Line_chart_1870-2020.png",False
google/gemini-3-flash-preview,agent2,supported,1.0,"The bar for 'Fair Rent @ 9%' has a value of 359, which is significantly lower than the 'Gross Land + Building (R+S+T)' bar, which has a value of 3987.",1.99,1455,False,9,The Fair Rent @ 9% is lower than the Gross Land + Building value according to the chart.,https://chartfc.s3.amazonaws.com/FR_Res.JPG,True
google/gemini-3-flash-preview,agent2,supported,0.9,"The chart shows two distinct periods of decrease: first from age 15 to 20, and again from age 21 through 65, following a peak at age 21.",2.25,1391,False,10,"According to the graph, we can see decreasing line in the number of women arrested at different ages in twice.",https://chartfc.s3.amazonaws.com/US_female_arrests_for_disorderly_conduct_by_age.png,True
google/gemini-3-flash-preview,agent2,contradicted,0.95,"While ages 15 and 16 have the highest individual arrest rates, their combined values (approx. 460 per 100,000) do not constitute a majority (over 50%) of the total sum of all age groups shown on the chart.",2.03,1416,False,11,Majority of females arrested in US in 2014 for disorderly conduct were of the age 15 and 16.,https://chartfc.s3.amazonaws.com/US_female_arrests_for_disorderly_conduct_by_age.png,True
google/gemini-3-flash-preview,agent2,supported,0.9,"The visual gap between the orange bar (Females) and blue bar (Males) is largest for Administrative & Secretarial, roughly representing a difference of 13 units (16 vs 3).",2.36,1396,False,12,The most difference between females and males workers is related to Administrative and secretarial.,https://chartfc.s3.amazonaws.com/Glatton_occupational_structure_2011.jpg,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"In both the 'Elementary' and 'Sales & Customer Service' categories, the orange (Females) and blue (Males) bars are clearly shown to be the same length.",1.2,1390,False,13,In none of the bars the number of female and male workers are equal.,https://chartfc.s3.amazonaws.com/Glatton_occupational_structure_2011.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The sum of PNL (18%) and PSD (27%) is 45%, which is significantly higher than the 'others' category (27%).",2.79,1400,False,14,Votes for others were higher than PNL and PSD combined.,https://chartfc.s3.amazonaws.com/01062008-Romanian-County-Councils.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The difference between the third bar (91) and fifth bar (48) is 43, while the difference between the first bar (97) and fourth bar (80) is 17. Therefore, the first difference (43) is greater than the second difference (17), making the claim false.",3.11,1445,False,15,The difference between the third and fifth bars is less than the difference between the first and fourth bars.,https://chartfc.s3.amazonaws.com/Global_public_support_for_energy_sources_(Ipsos_2011).png,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The values for the six bars are 97, 93, 91, 80, 48, and 38. Their sum is 447, and dividing by 6 results in an average of exactly 74.5.",2.02,1429,False,16,The average bars that given for energy sources is about 74.5.,https://chartfc.s3.amazonaws.com/Global_public_support_for_energy_sources_(Ipsos_2011).png,True
google/gemini-3-flash-preview,agent2,supported,0.95,"The bar chart shows that both '180-day Transit to Mars' and '500 Days on Mars' have bars that reach the exact same height on the log scale, representing approximately 330 millisieverts.",2.93,1421,False,17,Both 180 day Transit to mars and 500 Days on Mars have equal dose of radiation exposure,https://chartfc.s3.amazonaws.com/PIA17601-Comparisons-RadiationExposure-MarsTrip-20131209.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The chart shows an Abdominal CT Scan provides roughly 8 millisieverts, while '180-day Transit to Mars' and '500 Days on Mars' each provide over 300 millisieverts, which is significantly higher.",1.92,1422,False,18,A person would receive a greater radiation exposure traveling to and staying on Mars than getting a Abdominal CT scan,https://chartfc.s3.amazonaws.com/PIA17601-Comparisons-RadiationExposure-MarsTrip-20131209.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The chart shows that an Abdominal CT Scan results in less than 10 millisieverts, while 500 Days on Mars results in approximately 300 millisieverts, making the claim visually and numerically false.",1.66,1417,False,19,Abdominal CT scans expose patients to more radiation than a 500-day stay on Mars.,https://chartfc.s3.amazonaws.com/PIA17601-Comparisons-RadiationExposure-MarsTrip-20131209.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The values for Ethanol (0.50%), Wind power (0.51%), and Solar hotwater (0.17%) average to approximately 0.393%, which is significantly lower than 1.3.",2.61,1439,False,20,"Among the Renewables sources, the average of Ethanol, windpower and solar hotwater bars is 1.3",https://chartfc.s3.amazonaws.com/WORLD_RENEWABLE_ENERGY_DISTRIBUTION.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The pie chart shows that 'Prairie' (yellow) alone accounts for more than half of the total area, and including 'Prairie poorly drained' and 'Wet Prairie' brings the total prairie-related vegetation to approximately 90% of the chart.",3.84,1433,False,21,"Less than a quarter of the native vegetation in Audubon County, Iowa is Prairie.",https://chartfc.s3.amazonaws.com/Audubon_County_IA_Pie_Chart_New_Wiki_Version.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The two yellow slices (Prairie and Wet Prairie) combined represent significantly more than half of the pie chart, while the pink/red slices (Mixed Hardwoods categories) represent less than a quarter.",1.48,1417,False,22,The value of the dark and light yellow is equal to the value of the dark and light pink.,https://chartfc.s3.amazonaws.com/Audubon_County_IA_Pie_Chart_New_Wiki_Version.png,False
google/gemini-3-flash-preview,agent2,contradicted,0.1,"The provided image is a pie chart without any labels, title, or numerical data, making it impossible to verify any specific claim regarding global wealth distribution.",2.29,1393,False,23,The bottom 99.9% own 5 trillion of the global distribution of wealth.,https://chartfc.s3.amazonaws.com/Global_Distribution_of_Wealth_v3.png,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The red curve is explicitly labeled with the mathematical expression 'b^x', which represents an exponential growth function, and its visual shape matches this function.",1.86,1372,False,24,The red curve increases exponentially,https://chartfc.s3.amazonaws.com/Logarithm_inversefunctiontoexp.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,The green curve labeled log_b(x) clearly shows the function's value dropping vertically toward negative infinity as the x-value approaches the vertical axis (zero).,1.88,1382,False,25,The logarithm function approaches negative infinity as x approaches zero.,https://chartfc.s3.amazonaws.com/Logarithm_inversefunctiontoexp.png,True
google/gemini-3-flash-preview,agent2,supported,0.9,"The red color in the legend corresponds to 'non compared', and the bar for number 6 is the tallest red bar in the chart.",1.74,1387,False,26,"Number six has the highest bar for the category ""non compared"" compared to other non compared numbers.",https://chartfc.s3.amazonaws.com/Lomuto_044.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The 'No religious affiliation' slice is the largest section of the pie chart at 32%, which is higher than any other individual category listed.",5.0,1410,False,27,The biggest share of people state that they have no religious affiliation based on the chart that shows the Alberta population by religion.,https://chartfc.s3.amazonaws.com/AB_Pop._by_Religion.jpg,True
google/gemini-3-flash-preview,agent2,supported,0.9,"The pie chart from the 2011 survey has five blue slices: Catholic (24%), United Church (8%), Anglican (4%), Lutheran (3%), and Other Christian (21%). The average of these five values is (24+8+4+3+21)/5 = 12.",1.5,1440,False,28,The average of all blue charts is 12 in 2011.,https://chartfc.s3.amazonaws.com/AB_Pop._by_Religion.jpg,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,The chart shows a strong negative correlation where the number of edits decreases significantly as the count of individual editors (represented as an ordered rank on the x-axis) increases.,12.68,1422,False,29,"As the number of individual editors increases, so do the number of edits.",https://chartfc.s3.amazonaws.com/Edits_to_WPNOR.png,False
